Order ID,ship-city,ship-state,ship-postal-code,ship-country
405-0559553-6846746,Agartala,TRIPURA,799003,IN
404-8449137-8390714,AGARTALA,TRIPURA,799001,IN
407-7767241-3360326,AGARTALA,TRIPURA,799001,IN
403-6800003-6393131,AGARTALA,TRIPURA,799001,IN
403-4653691-0808344,AGARTALA,TRIPURA,799001,IN
406-4897536-4973959,AGARTALA,TRIPURA,799003,IN
171-9395095-2569117,Agartala,TRIPURA,799014,IN
408-8890135-2858749,AGARTALA,TRIPURA,799001,IN
171-8015750-4369926,AGARTALA,TRIPURA,799003,IN
408-8624074-9828342,AGARTALA,TRIPURA,799006,IN
403-3208639-1951509,AGARTALA,TRIPURA,799006,IN
405-4354723-2937121,Agartala,TRIPURA,799003,IN
407-7940242-2897942,AGARTALA,TRIPURA,799002,IN
171-0904228-9715521,AGARTALA,TRIPURA,799001,IN
408-3980857-4781927,AGARTALA,TRIPURA,799001,IN
404-6777715-0455546,AGARTALA,TRIPURA,799001,IN
405-8001258-2045963,AGARTALA,TRIPURA,799006,IN
405-1237909-4764356,AGARTALA,TRIPURA,799001,IN
171-9792280-4421143,AGARTALA,TRIPURA,799006,IN
405-2311879-1539502,AGARTALA,TRIPURA,799003,IN
406-8761711-8881942,AGARTALA,TRIPURA,799001,IN
404-1797272-1764349,AGARTALA,TRIPURA,799001,IN
171-1503115-7505956,AGARTALA,TRIPURA,799001,IN
403-9769522-0716319,Agartala,TRIPURA,799001,IN
408-9183800-1281950,AGARTALA,TRIPURA,799001,IN
404-7708906-5489129,AGARTALA,TRIPURA,799006,IN
407-9681262-4962703,AGARTALA,TRIPURA,799003,IN
404-6591635-1321127,AGARTALA,TRIPURA,799001,IN
404-0659719-8200313,AGARTALA,TRIPURA,799002,IN
404-4624725-3745952,AGARTALA,TRIPURA,799002,IN
405-6492307-6539551,AGARTALA,TRIPURA,799006,IN
407-5539868-9412328,AGARTALA,TRIPURA,799007,IN
407-7957931-8002735,AGARTALA,TRIPURA,799006,IN
171-4091162-2525945,AGARTALA,TRIPURA,799005,IN
171-3512181-4550702,AGARTALA,TRIPURA,799006,IN
405-9100180-2940353,AGARTALA,TRIPURA,799004,IN
408-7425554-3521933,Agartala,TRIPURA,799001,IN
402-7058753-5655562,AGARTALA,TRIPURA,799001,IN
171-3105655-7492311,Agarwada,GOA,403512,IN
403-2848656-7504331,AGIRIPALLE,ANDHRA PRADESH,521211,IN
403-9405236-3273938,AGIRIPALLE,ANDHRA PRADESH,521211,IN
408-9006941-6047526,AGRA,UTTAR PRADESH,282001,IN
406-2454684-7585134,Agra,UTTAR PRADESH,282002,IN
171-5220209-8891516,AGRA,UTTAR PRADESH,282002,IN
406-8628138-9152322,AGRA,UTTAR PRADESH,282005,IN
406-8628138-9152322,AGRA,UTTAR PRADESH,282005,IN
403-1095708-7685933,AGRA,UTTAR PRADESH,282006,IN
406-2023538-6385157,AGRA,UTTAR PRADESH,282007,IN
402-6261235-8753135,AGRA,UTTAR PRADESH,282007,IN
402-5420448-6661154,AGRA,UTTAR PRADESH,282007,IN
402-0064279-1669153,AGRA,UTTAR PRADESH,282007,IN
406-9059127-0535532,AGRA,UTTAR PRADESH,282005,IN
407-5365794-0051511,AGRA,UTTAR PRADESH,282003,IN
403-9942293-9193950,AGRA,UTTAR PRADESH,282002,IN
403-3667797-6377163,Agra,UTTAR PRADESH,283105,IN
405-7161269-6629915,AGRA,UTTAR PRADESH,282010,IN
171-9585735-9089908,AGRA,UTTAR PRADESH,282002,IN
403-5127123-9851552,AGRA,UTTAR PRADESH,283119,IN
403-9964149-7133964,AGRA,UTTAR PRADESH,282005,IN
404-3078181-2248337,AGRA,UTTAR PRADESH,282006,IN
404-6243386-9018745,AGRA,UTTAR PRADESH,282007,IN
408-6131471-5587556,AGRA,UTTAR PRADESH,282007,IN
402-2754408-7563545,AGRA,UTTAR PRADESH,282007,IN
408-2916720-2355550,AGRA,UTTAR PRADESH,282007,IN
402-0783576-8969168,AGRA,UTTAR PRADESH,282007,IN
408-6251368-1154769,AGRA,UTTAR PRADESH,282005,IN
407-9497776-0226750,AGRA,UTTAR PRADESH,282007,IN
402-2440471-7318708,AGRA,UTTAR PRADESH,282007,IN
407-6662354-8389920,AGRA,UTTAR PRADESH,282007,IN
407-4044062-9733110,AGRA,UTTAR PRADESH,282004,IN
408-3534586-1545954,AGRA,UTTAR PRADESH,282001,IN
402-6398667-1525120,AGRA,UTTAR PRADESH,282005,IN
402-5119067-2956359,AGRA,UTTAR PRADESH,282007,IN
406-2757054-9392309,AGRA,UTTAR PRADESH,282007,IN
404-3128894-0273914,AGRA,UTTAR PRADESH,282007,IN
171-9410778-8625904,AGRA,UTTAR PRADESH,282006,IN
407-4057757-3264302,AGRA,UTTAR PRADESH,282001,IN
171-9912087-8913128,AGRA,UTTAR PRADESH,282006,IN
171-5803367-0025959,AGRA,UTTAR PRADESH,282006,IN
405-0541184-9905131,AGRA,UTTAR PRADESH,282005,IN
405-0541184-9905131,AGRA,UTTAR PRADESH,282005,IN
405-0541184-9905131,AGRA,UTTAR PRADESH,282005,IN
404-3716676-8368354,AGRA,UTTAR PRADESH,282006,IN
403-3621736-6884361,AGRA,UTTAR PRADESH,282001,IN
408-1955601-8616364,AGRA,UTTAR PRADESH,282005,IN
407-2570835-5096350,AGRA,UTTAR PRADESH,282007,IN
407-2570835-5096350,AGRA,UTTAR PRADESH,282007,IN
407-2570835-5096350,AGRA,UTTAR PRADESH,282007,IN
404-7036177-6672303,AGRA,UTTAR PRADESH,282007,IN
404-2335789-8735501,agra,UTTAR PRADESH,282004,IN
403-4549989-6281967,AGRA,UTTAR PRADESH,282005,IN
402-4092154-1117943,AGRA,UTTAR PRADESH,282007,IN
171-6941593-5471506,AGRA,UTTAR PRADESH,282002,IN
402-6785096-8802758,AGRA,UTTAR PRADESH,282002,IN
405-4093728-9027538,AGRA,UTTAR PRADESH,282009,IN
406-7692601-4982717,AGRA,UTTAR PRADESH,282001,IN
402-8214299-3768337,AGRA,UTTAR PRADESH,282005,IN
171-4540711-5465969,AGRA,UTTAR PRADESH,282002,IN
171-5524662-3639540,AGRA,UTTAR PRADESH,282002,IN
408-3453523-5858701,AGRA,UTTAR PRADESH,282007,IN
402-8200319-9841111,AGRA,UTTAR PRADESH,282007,IN
171-4156217-8905128,Agra,UTTAR PRADESH,282010,IN
407-0492039-4014725,AGRA,UTTAR PRADESH,282006,IN
171-3965668-2973954,AGRA,UTTAR PRADESH,282006,IN
408-0075607-6138765,AGRA,UTTAR PRADESH,282001,IN
408-9585605-1508314,AGRA,UTTAR PRADESH,282002,IN
171-6242892-0432362,AGRA,UTTAR PRADESH,282001,IN
408-4475698-8712314,AGRA,UTTAR PRADESH,282005,IN
171-7964979-7135503,AGRA,UTTAR PRADESH,282005,IN
403-6392140-2792310,AGRA,UTTAR PRADESH,282007,IN
407-5866978-3305950,AGRA,UTTAR PRADESH,282004,IN
404-8601345-1328318,Agra,UTTAR PRADESH,282001,IN
404-6258220-1265949,AGRA,UTTAR PRADESH,282007,IN
407-1717883-3879521,AGRA,UTTAR PRADESH,282001,IN
171-4136229-1211545,AGRA,UTTAR PRADESH,282001,IN
171-7820644-0765923,AGRA,UTTAR PRADESH,282001,IN
405-9940837-1717124,Agra,UTTAR PRADESH,282005,IN
406-7667147-0633123,AGRA,UTTAR PRADESH,282004,IN
406-0824897-4832368,AGRA,UTTAR PRADESH,282007,IN
403-8838041-9721120,AGRA,UTTAR PRADESH,282001,IN
405-3786632-4477113,AGRA,UTTAR PRADESH,282001,IN
171-3752068-2449968,Agra,UTTAR PRADESH,282010,IN
408-3244521-8488356,AGRA,UTTAR PRADESH,282005,IN
402-8756884-8441161,AGRA,UTTAR PRADESH,282002,IN
171-1312505-0752340,AGRA,UTTAR PRADESH,282001,IN
171-1312505-0752340,AGRA,UTTAR PRADESH,282001,IN
171-1432668-7289151,AGRA,UTTAR PRADESH,282010,IN
406-4565534-6745940,AGRA,UTTAR PRADESH,282008,IN
406-4603026-8016343,AGRA,UTTAR PRADESH,282008,IN
406-6637446-2561927,AGRA,UTTAR PRADESH,282008,IN
171-8725167-5108345,AGRA,UTTAR PRADESH,282005,IN
406-4992739-1560338,AGRA,UTTAR PRADESH,282008,IN
402-3303298-0013159,AGRA,UTTAR PRADESH,282010,IN
408-1740466-4591509,AGRA,UTTAR PRADESH,282007,IN
407-2239254-9180305,AGRA,UTTAR PRADESH,282001,IN
405-8205815-3155552,AGRA,UTTAR PRADESH,282005,IN
171-1858819-3513966,Agra,UTTAR PRADESH,282005,IN
405-6866167-0627513,AGRA,UTTAR PRADESH,282001,IN
405-4950823-0487567,AGRA,UTTAR PRADESH,282005,IN
408-0851398-4684345,AGRA,UTTAR PRADESH,282005,IN
407-5160751-7684355,AGRA,UTTAR PRADESH,282001,IN
403-6828803-6453961,AGRA,UTTAR PRADESH,282005,IN
402-6654211-8884355,AGRA,UTTAR PRADESH,282001,IN
406-2936408-4625111,AGRA,UTTAR PRADESH,282005,IN
405-1031249-1482701,AGRA,UTTAR PRADESH,282010,IN
404-0941960-0135531,AGRA,UTTAR PRADESH,282010,IN
405-4517183-6977160,AGRA,UTTAR PRADESH,282007,IN
405-9954000-3547510,Agra,UTTAR PRADESH,282005,IN
407-7152041-3551560,Agra,UTTAR PRADESH,282007,IN
408-1907979-6257942,AGRA,UTTAR PRADESH,282005,IN
402-3583344-8701968,AGRA,UTTAR PRADESH,282005,IN
403-6967647-6513958,AGRA,UTTAR PRADESH,282002,IN
408-3290231-9646769,AGRA,UTTAR PRADESH,282009,IN
404-2447797-3082759,AGRA,UTTAR PRADESH,282005,IN
406-8252229-2796332,AGRA,UTTAR PRADESH,282005,IN
171-0696059-2373925,Agra,UTTAR PRADESH,282007,IN
407-4582802-9189902,AGRA,UTTAR PRADESH,282001,IN
171-1324699-0214753,AGRA,UTTAR PRADESH,282007,IN
171-0149511-6280363,AGRA,UTTAR PRADESH,282001,IN
403-7848809-0978728,AGRA,UTTAR PRADESH,282001,IN
403-1071769-9845154,AGRA,UTTAR PRADESH,282008,IN
404-9960841-3811546,AGRA,UTTAR PRADESH,282001,IN
408-0039935-6625925,AGRA,UTTAR PRADESH,282001,IN
407-4740732-3127531,AGRA,UTTAR PRADESH,282009,IN
408-8357244-3930730,AGRA,UTTAR PRADESH,282001,IN
408-0647004-9160324,AGRA,UTTAR PRADESH,282001,IN
403-3388289-9280328,AGRA,UTTAR PRADESH,282006,IN
403-8378796-2762715,AGRA,UTTAR PRADESH,282006,IN
402-2716643-7033110,Agra,UTTAR PRADESH,282001,IN
405-5324204-5390767,AGRA,UTTAR PRADESH,282005,IN
405-7431121-6001937,AGRA,UTTAR PRADESH,282002,IN
404-0677756-1550761,agra,UTTAR PRADESH,282002,IN
